name,lat,lon,dgis_id,dgis_match_name,dgis_address,dgis_point_lat,dgis_point_lon,dgis_general_rating,dgis_general_review_count,dgis_general_review_count_with_stars,dgis_org_rating,dgis_org_review_count,dgis_rating_raw,dgis_review_count_raw
smart_cafe,55.776103,37.679032,7E+16,"smart day, кофейня","Спартаковская площадь, 16/15 ст2",55.776147,37.679044,4.6,36,62,4.6,36,,
Ладо,55.762802,37.637411,7E+16,"Ладо, ресторан-бар","Кривоколенный переулок, 9 ст2",55.762842,37.637317,4.9,277,5832,4.9,277,5,1
Ни свет ни заря,55.762156,37.651801,7E+16,"Ни свет ни заря, кофейня","улица Покровка, 41 ст1",55.762221,37.651991,4.4,64,101,4.7,67,4,1
Лепим и варим,55.757728,37.634997,7E+16,"Лепим и варим, пельменная","улица Маросейка, 9/2 ст1",55.757735,37.635004,4.6,140,198,4.3,899,5,4
Jeffreys coffeeshop,55.754081,37.649733,7E+16,"Coffee master, экспресс-кофейня самообслуживания","Дурасовский переулок, 9",55.754822,37.651137,,,,,,,
Охотка,55.757533,37.63666,7E+16,"Охотка, кафе быстрого питания","улица Маросейка, 8",55.757506,37.636702,4.1,54,75,4.4,99,,
Film.bar,55.761635,37.640484,,,,,,,,,,,,
Coffee Cona,55.754442,37.636498,7E+16,"Concerto, автомат по продаже кофе","Большой Спасоглинищевский переулок, 14",55.754653,37.636146,,,,,,,
Hav.Palass,55.764696,37.653935,,,,,,,,,,,,
Тхань,55.772401,37.664266,7E+16,"Тхань, кафе","Новорязанская улица, 25 ст1",55.772414,37.664261,4.7,57,70,4.8,97,5,1
Дринкит,55.760622,37.663753,7E+16,"Дринкит, кофейня","Нижний Сусальный переулок, 5 ст9",55.760656,37.663699,4.1,10,16,4.6,802,,
Corner Coffee,55.755079,37.64779,7E+16,"Corner coffee roasters, кофейня","Покровский бульвар, 14/6",55.755098,37.647831,3.9,21,35,3.9,21,,
CofeFest,55.775743,37.671802,,,,,,,,,,,,
Taco Time,55.768271,37.684103,7E+16,"Taco Time, гриль-бар мексиканской еды и пива","Старокирочный переулок, 16/2 ст1",55.768527,37.684295,4.5,31,46,4.5,31,,
Старик Хинкалыч,55.767646,37.646708,7E+16,"Старик Хинкалыч, хинкальная","Большой Козловский переулок, 3/2",55.767685,37.646819,4.3,64,150,4.3,1659,1,1
Kitsune,55.768416,37.684169,7E+16,"Kitsune, японская кофейня","Старокирочный переулок, 16/2 ст1",55.76846,37.684263,5,1,1,5,1,,
Сыто Piano,55.758645,37.641482,7E+16,"Сыто Пьяно, кафе","улица Покровка, 4 ст1",55.758664,37.641529,3.4,100,149,3.5,631,,
Загорами,55.773945,37.681821,7E+16,"Zagorami, ресторан","Бакунинская улица, 14 ст1",55.773924,37.681921,4.4,75,108,4.4,75,,
Stim,55.776047,37.678289,7E+16,"Stim, кофейня","Бауманская улица, 15 к4",55.776093,37.678424,4.4,82,140,4.4,82,4.2,5
Crosby Coffee,55.773507,37.665366,7E+16,"Crosby Coffee, кофейня","Ольховская улица, 4 к1",55.773519,37.665362,5,8,10,4.6,86,,
Вспышка,55.775998,37.672458,7E+16,"Вспышка, кофейня","Нижняя Красносельская улица, 35 ст2",55.775988,37.672225,4.7,60,72,4.7,60,4.8,14
Шашлычок,55.77715,37.674006,7E+16,"Шашлычок, кафе быстрого обслуживания","Нижняя Красносельская улица, 35 ст52",55.777212,37.674043,4.7,56,75,4.7,56,,
Pear-6,55.754027,37.650169,,,,,,,,,,,,
Лунго,55.767341,37.650634,,,,,,,,,,,,
Пороселло,55.770781,37.678795,7E+16,"Пороселло, кафе-бар","Бауманская улица, 42",55.770826,37.678874,4.6,98,142,4.6,170,5,1
SeDelice,55.768015,37.647678,7E+16,"SeDelice, французская пекарня","Хоромный тупик, 2/6",55.768055,37.647803,4.5,28,56,4.1,2475,,
Fettucciamo,55.760892,37.632377,7E+16,"Fettucciamo, кафе","Мясницкая улица, 16",55.76091,37.632427,4.5,61,113,4.4,66,,
StandUp Cafe,55.759099,37.645636,7E+16,"StandUp Cafe, стендап-клуб","улица Покровка, 16",55.759123,37.645649,4.4,62,198,4.4,62,,
Taam hummus bar,55.7598,37.647012,7E+16,"Taam Hummus Bar, кафе израильской кухни","улица Покровка, 21-23/25 ст1",55.759853,37.647031,4.7,32,44,4.8,72,,
Я тебя люля,55.758617,37.645989,7E+16,"Я Тебя Люля, кафе","улица Покровка, 16",55.75868,37.645922,4.7,113,158,4.7,113,5,1
Dragon Bubble Tea,55.771326,37.680693,7E+16,"Dragon, точка безалкогольных напитков","Ладожская улица, 4/6 ст5",55.771325,37.680773,3.7,31,37,2.8,60,,
Tintoretto,55.759922,37.65277,7E+16,"Tintoretto coffee, кофейня","Малый Казённый переулок, 2",55.76,37.65278,4.7,18,26,4.7,18,,
Публика,55.766469,37.663504,7E+16,"Публика, кафе-бар","Старая Басманная улица, 18 ст4",55.766435,37.663657,4.5,47,93,4.5,47,,
Полдень,55.76053,37.647203,7E+16,"Полдень, кофейня","Чистопрудный бульвар, 23 ст2",55.760524,37.647204,4.1,82,154,4.1,82,,
Coffee Moose,55.767537,37.665201,,,,,,,,,,,,
Грот,55.761304,37.680221,,,,,,,,,,,,
